"","State","County","Tract","Median_Income_past_12months_Total","Race_Wht","Race_Blk","Race_Lat","Race_Asn","Race_Am_Indn","Race_Isl","Race_Other","Race_Two","Lat_Orgn","NonLat_Orgn","Income_Wht","Income_Blk","Income_NonLat","Income_Lat","Income_Natv","Income_Asn","Income_Isl","Income_Other","Income_TwoRaces","Income_Under10k","Income_10k","Income_20k","Income_30k","Income_40k","Income_50k","Income_60k","Income_70k","Income_80k","Income_90k","Income_100_199k","Income_200_249k","Income_250_499k","Income_500k_up","Income_Imputed","Vacancy_Status","Occupation_16_up","Educational_Attainment_25yrs_up","Employment_Status","Poverty_Status_Past12","Food_Stamps","Total_Housing_Units","Gini_Income_Ineq"
"805","25","025","092101",NA,2042,1717,7099,2601,0,0,434,305,7099,6579,802,547,724,228,0,675,0,214,61,0,0,0,0,0,0,0,0,0,0,0,34,150,150,1390,257,432,603,512,164,77,2556,0.5415
"806","25","025","092200",NA,889,1532,3264,573,0,0,185,85,3264,3045,396,501,385,72,0,125,0,58,48,0,0,0,0,0,0,0,0,0,0,11,31,162,162,508,136,198,246,243,43,28,1264,0.4175
"807","25","025","092300",23765,348,2881,3452,14,55,0,67,87,3452,3066,132,888,77,132,14,14,0,25,19,0,0,5,0,0,0,0,0,0,0,16,5,67,67,603,92,112,191,128,70,0,1184,0.4591
"852","25","025","092400",17175,490,4887,5732,0,157,0,150,48,5732,4149,216,1598,11,596,73,0,0,102,40,0,0,0,0,0,0,0,0,0,0,0,0,10,10,1546,131,318,612,700,157,51,2160,0.4361
"853","25","025","100100",14357,1039,4607,6146,110,7,0,211,172,6146,4507,279,1578,58,510,5,28,0,63,70,0,0,0,0,0,0,0,0,0,0,60,7,91,91,1199,166,320,343,286,174,41,2189,0.5504
"854","25","025","100200",19145,146,2469,3005,57,0,0,173,160,3005,2629,61,738,35,140,0,19,0,50,56,6,0,0,0,0,0,0,0,0,0,12,42,38,38,738,138,102,155,159,113,12,1062,0.4982
"855","25","025","100300",NA,332,3121,3642,108,0,0,32,49,3642,3269,92,1030,24,130,0,22,0,32,22,24,0,0,0,0,0,0,0,0,0,40,79,57,57,673,137,177,298,188,66,6,1335,0.4575
"856","25","025","100400",27239,537,3585,5209,376,155,0,350,206,5209,4625,221,1219,204,168,42,135,0,77,39,16,0,7,0,0,0,0,0,0,0,10,55,220,220,1379,198,540,408,523,187,9,1931,0.4284
"857","25","025","100500",NA,1378,4621,7227,782,17,0,88,341,7227,6051,629,1299,501,427,17,217,0,66,111,0,0,0,0,0,0,0,0,0,0,0,18,198,198,1783,209,233,574,443,261,36,2548,0.5123
"858","25","025","100601",NA,1911,1729,5185,993,20,0,273,259,5185,4662,947,766,905,195,20,280,0,62,65,6,0,0,0,0,0,0,0,0,0,4,126,99,99,1086,93,450,499,561,128,29,2233,0.3989
"859","25","025","100603",41433,1499,324,2038,180,4,0,1,30,2038,1977,675,105,675,9,4,30,0,0,21,0,0,6,0,0,0,0,0,0,0,50,12,102,102,485,67,204,114,187,58,38,902,0.3781
"860","25","025","100700",42028,4050,180,4370,83,0,0,9,48,4370,4264,1776,69,1776,24,0,20,0,9,47,0,0,0,0,0,0,0,0,0,0,0,45,474,474,552,120,316,187,237,50,16,2041,0.3988
"861","25","025","100800",40820,3157,2266,6716,996,0,0,0,297,6716,6704,1647,758,1635,12,0,255,0,0,37,0,0,0,0,7,0,0,0,0,0,13,28,407,407,707,132,148,169,137,0,27,2829,0.4767
"862","25","025","100900",29073,1029,2494,3975,408,0,0,13,31,3975,3718,484,951,470,62,0,115,0,13,20,14,0,0,0,0,0,0,0,0,0,0,36,169,169,729,206,181,322,307,108,0,1789,0.3875
"863","25","025","101001",21509,241,5402,5817,0,0,0,133,41,5817,5176,82,2052,24,124,0,0,0,19,29,0,0,0,0,0,0,0,0,0,0,0,78,172,172,1720,199,337,544,556,158,70,2381,0.4491
"864","25","025","101002",20582,546,4056,4926,7,14,0,197,106,4926,3605,180,1688,39,478,14,0,0,81,48,0,0,0,0,0,0,0,0,0,0,38,21,53,53,1192,280,475,420,590,70,35,2291,0.4616
"865","25","025","101101",21414,253,3383,3808,47,0,0,12,113,3808,2870,66,976,26,207,0,14,0,0,47,0,0,0,0,0,0,0,0,0,0,23,5,81,81,970,114,225,341,214,189,9,1217,0.3694
"866","25","025","101102",16746,375,4532,5146,93,0,0,25,121,5146,4571,95,1385,35,191,0,37,0,25,10,0,0,0,0,0,0,0,0,0,0,8,0,20,20,1268,181,372,611,378,177,61,1733,0.4135
"867","25","025","110103",NA,3393,1651,6557,528,0,0,726,259,6557,4665,1404,555,1186,476,0,182,0,184,52,0,0,0,0,0,0,0,0,0,0,17,26,330,330,1459,101,756,926,803,126,34,2478,0.4721
"868","25","025","110201",NA,955,930,2380,0,8,0,417,70,2380,1574,426,363,274,299,8,0,0,108,12,0,0,0,0,0,0,0,0,0,0,0,7,59,59,638,22,339,270,268,101,35,939,0.4742
"869","25","025","110301",NA,1222,931,2663,49,64,0,376,21,2663,1941,564,255,452,199,0,19,0,93,6,0,0,8,0,0,0,0,0,0,0,9,0,210,210,587,76,272,196,205,91,7,1013,0.3445
"870","25","025","110401",30497,2036,1278,3830,123,93,0,130,170,3830,2645,766,439,546,353,21,47,0,87,50,0,0,0,0,0,0,0,0,0,0,0,24,223,223,825,47,281,177,195,58,69,1457,0.4115
"871","25","025","110403",NA,2405,1425,4724,118,8,0,503,265,4724,3203,1018,509,871,411,8,40,0,103,38,0,0,0,0,0,0,0,0,0,0,0,82,353,353,852,108,239,241,390,67,13,1824,0.4798
"872","25","025","110501",39614,2718,439,3601,59,0,0,273,112,3601,3126,1074,117,1036,119,0,20,0,81,24,0,0,0,0,0,0,0,0,0,0,0,21,302,302,719,118,218,240,65,115,10,1434,0.411
"873","25","025","110502",NA,3358,656,4443,16,21,0,224,168,4443,3515,1390,247,1184,291,0,6,0,72,48,0,0,0,0,0,0,0,0,0,0,23,2,387,387,1060,58,330,379,442,72,12,1821,0.4168
"874","25","025","110601",NA,2630,137,2946,100,0,0,42,37,2946,2807,1080,66,1053,37,0,41,0,0,10,0,0,0,0,0,10,0,0,0,0,0,11,185,185,551,126,129,204,135,17,36,1323,0.5125
"875","25","025","110607",NA,4397,378,5126,132,0,0,79,140,5126,4719,2011,83,1976,109,0,47,0,34,37,13,0,0,0,0,0,0,0,0,0,0,22,649,649,1057,91,177,399,179,51,18,2303,0.4659
"876","25","025","120103",NA,1352,66,1625,84,0,0,1,122,1625,1512,586,55,573,36,0,25,0,0,0,0,0,0,3,0,0,0,0,14,0,6,0,74,74,83,35,66,32,56,18,5,701,0.4259
"877","25","025","120104",43963,1746,163,2273,109,0,0,121,134,2273,1759,890,26,802,183,0,21,0,62,61,0,0,0,0,0,0,0,0,0,0,0,0,131,131,296,63,113,140,97,17,0,1123,0.3985
